sku,name,category,subcategory,unit_price,unit_cost,shelf_zone,launch_date,is_active
P-P014,身體乳液 400ml,個人保養清潔,頭髮護理,320,210,Z-B 美妝保養區,2021-02-03,1
P-P015,沐浴乳 800ml,個人保養清潔,臉部保養,220,138,Z-B 美妝保養區,2021-05-09,1
P-P016,洗髮精 750ml,個人保養清潔,身體清潔,280,180,Z-B 美妝保養區,2023-06-05,1
P-P017,護髮素 500ml,個人保養清潔,頭髮護理,260,173,Z-B 美妝保養區,2022-06-06,1
P-P018,頭皮養護精華,個人保養清潔,臉部保養,580,386,Z-B 美妝保養區,2021-07-18,1
P-P019,洗手慕斯補充包,個人保養清潔,身體清潔,120,75,Z-B 美妝保養區,2022-08-04,1
P-P020,卸妝油 200ml,個人保養清潔,頭髮護理,350,208,Z-B 美妝保養區,2021-06-14,1
P-P021,男士控油洗面乳,個人保養清潔,臉部保養,240,150,Z-B 美妝保養區,2021-10-05,1
P-P022,男士鬍後乳,個人保養清潔,身體清潔,380,245,Z-B 美妝保養區,2022-05-05,1
P-P023,兒童溫和沐浴露,個人保養清潔,頭髮護理,260,154,Z-B 美妝保養區,2024-04-30,1
P-P024,敏感肌保濕霜,個人保養清潔,臉部保養,540,360,Z-B 美妝保養區,2022-01-28,1
P-P025,精油香氛身體油,個人保養清潔,身體清潔,480,296,Z-B 美妝保養區,2022-04-13,1
P-P026,足部去角質霜,個人保養清潔,頭髮護理,280,188,Z-B 美妝保養區,2023-01-19,0
P-P027,指緣護理油,個人保養清潔,臉部保養,220,149,Z-B 美妝保養區,2023-01-15,0
P-P028,天然皂三入組,個人保養清潔,身體清潔,200,135,Z-B 美妝保養區,2022-02-17,1
P-P029,私密處潔膚露,個人保養清潔,頭髮護理,320,187,Z-B 美妝保養區,2022-01-26,1
P-P030,頭髮造型噴霧,個人保養清潔,臉部保養,300,202,Z-B 美妝保養區,2025-03-13,1
P-L001,抗菌洗衣精 2L,居家生活用品,收納整理,260,189,Z-C 居家日用區,2024-07-21,1
P-L002,衣物柔軟精 1.8L,居家生活用品,居家生活,220,149,Z-C 居家日用區,2022-02-02,1
P-L003,廚房去油清潔劑,居家生活用品,清潔用品,150,104,Z-C 居家日用區,2023-03-10,1
P-L004,浴廁除霉噴劑,居家生活用品,收納整理,160,110,Z-C 居家日用區,2021-10-01,1
P-L005,竹纖維抹布 5 入,居家生活用品,居家生活,180,123,Z-C 居家日用區,2021-12-29,1
P-L006,不鏽鋼保溫瓶 500ml,居家生活用品,清潔用品,680,480,Z-C 居家日用區,2024-07-20,1
P-L007,陶瓷馬克杯,居家生活用品,收納整理,320,230,Z-C 居家日用區,2021-03-08,1
P-L008,收納整理箱 45L,居家生活用品,居家生活,450,318,Z-C 居家日用區,2022-06-15,1
P-L009,真空壓縮袋 3 入,居家生活用品,清潔用品,280,204,Z-C 居家日用區,2022-01-04,1
P-L010,除濕盒 6 入,居家生活用品,收納整理,240,174,Z-C 居家日用區,2023-09-19,1
P-L011,香氛擴香瓶 100ml,居家生活用品,居家生活,520,365,Z-C 居家日用區,2022-08-02,1
P-L012,香氛蠟燭罐,居家生活用品,清潔用品,460,319,Z-C 居家日用區,2023-12-12,1
P-L013,竹製砧板,居家生活用品,收納整理,380,259,Z-C 居家日用區,2023-11-07,1
P-L014,矽膠料理夾,居家生活用品,居家生活,180,131,Z-C 居家日用區,2024-06-24,1
P-L015,玻璃保鮮盒 3 入,居家生活用品,清潔用品,590,398,Z-C 居家日用區,2022-02-02,1
P-L016,抗菌刀具砧板組,居家生活用品,收納整理,880,612,Z-C 居家日用區,2022-05-13,1
P-L017,靜電除塵拖把,居家生活用品,居家生活,620,449,Z-C 居家日用區,2023-09-20,1
P-L018,垃圾袋 大 100 入,居家生活用品,清潔用品,130,88,Z-C 居家日用區,2021-08-14,1
P-L019,洗碗海綿 8 入,居家生活用品,收納整理,110,79,Z-C 居家日用區,2021-09-26,1
P-L020,衣物防蟲片 12 入,居家生活用品,居家生活,190,129,Z-C 居家日用區,2023-05-28,1
P-L021,免洗筷 100 雙,居家生活用品,清潔用品,90,62,Z-C 居家日用區,2024-10-05,0
P-L022,摺疊購物袋,居家生活用品,收納整理,160,112,Z-C 居家日用區,2023-06-20,0
P-L023,珪藻土地墊,居家生活用品,居家生活,540,376,Z-C 居家日用區,2024-04-02,1
P-L024,涼感枕套組,居家生活用品,清潔用品,420,304,Z-C 居家日用區,2024-09-16,1
P-L025,LED護眼檯燈,居家生活用品,收納整理,1180,811,Z-C 居家日用區,2021-09-09,1
P-F001,有機豆漿 900ml,食品飲料,零食,65,52,Z-D 食品飲料區,2022-12-19,1
P-F002,高纖燕麥飲 6 入,食品飲料,沖泡即食,180,142,Z-D 食品飲料區,2022-02-10,1
P-F003,冷泡茶 500ml,食品飲料,飲料,35,29,Z-D 食品飲料區,2024-02-09,1
P-F004,罐裝黑咖啡 480ml,食品飲料,零食,55,44,Z-D 食品飲料區,2021-06-03,1
P-F005,氣泡水 6 入,食品飲料,沖泡即食,150,118,Z-D 食品飲料區,2021-02-08,1
P-F006,綜合堅果 250g,食品飲料,飲料,320,254,Z-D 食品飲料區,2023-05-03,1
P-F007,全麥蘇打餅,食品飲料,零食,90,69,Z-D 食品飲料區,2024-03-12,1
P-F008,綜合果乾 200g,食品飲料,沖泡即食,240,189,Z-D 食品飲料區,2023-08-17,1
P-F009,海苔脆片 6 入,食品飲料,飲料,120,93,Z-D 食品飲料區,2022-09-24,1
P-F010,蜂蜜檸檬飲 500ml,食品飲料,零食,75,62,Z-D 食品飲料區,2023-03-28,1
P-F011,即溶穀物粉 30 包,食品飲料,沖泡即食,380,312,Z-D 食品飲料區,2022-01-04,1
P-F012,天然果汁 1L,食品飲料,飲料,130,101,Z-D 食品飲料區,2022-12-21,1
P-F013,玄米綠茶包 25 入,食品飲料,零食,160,123,Z-D 食品飲料區,2022-10-23,1
P-F014,高鈣鮮乳 936ml,食品飲料,沖泡即食,95,74,Z-D 食品飲料區,2022-07-04,1
P-F015,手工餅乾禮罐,食品飲料,飲料,260,211,Z-D 食品飲料區,2021-02-06,1
P-F016,全素豆干包,食品飲料,零食,110,87,Z-D 食品飲料區,2023-06-30,0
P-F017,冷凍水餃 20 入,食品飲料,沖泡即食,220,173,Z-D 食品飲料區,2024-06-26,1
P-F018,即食雞胸肉 3 入,食品飲料,飲料,180,145,Z-D 食品飲料區,2021-03-13,1
P-F019,燕麥棒 6 入,食品飲料,零食,140,112,Z-D 食品飲料區,2021-03-02,1
P-F020,濃湯即食包 5 入,食品飲料,沖泡即食,190,147,Z-D 食品飲料區,2021-09-05,1
P-G001,阿里山高山茶禮盒,伴手禮禮盒,餅乾禮盒,880,466,Z-E 伴手禮區,2022-08-04,1
P-G002,鳳梨酥禮盒,伴手禮禮盒,茶禮盒,480,278,Z-E 伴手禮區,2022-10-18,1
P-G003,手工蛋捲禮盒,伴手禮禮盒,餅乾禮盒,380,226,Z-E 伴手禮區,2024-06-07,1
P-G004,方塊酥經典組,伴手禮禮盒,茶禮盒,320,175,Z-E 伴手禮區,2025-04-18,1
P-G005,黑糖薑茶禮盒,伴手禮禮盒,餅乾禮盒,420,245,Z-E 伴手禮區,2021-06-22,1
P-G006,綜合果乾禮盒,伴手禮禮盒,茶禮盒,560,340,Z-E 伴手禮區,2022-12-13,1
P-G007,咖啡濾掛禮盒,伴手禮禮盒,餅乾禮盒,620,370,Z-E 伴手禮區,2021-08-02,1
P-G008,蜂蜜禮盒組,伴手禮禮盒,茶禮盒,780,428,Z-E 伴手禮區,2022-10-21,1
P-G009,桂圓紅棗茶禮盒,伴手禮禮盒,餅乾禮盒,460,253,Z-E 伴手禮區,2024-05-11,1
P-G010,精選餅乾雙層禮盒,伴手禮禮盒,茶禮盒,1080,623,Z-E 伴手禮區,2022-04-12,1
P-B001,嬰兒配方奶粉 1 號,母嬰用品,尿布濕巾,780,503,Z-F 母嬰專區,2024-10-13,1
P-B002,嬰兒配方奶粉 2 號,母嬰用品,嬰童清潔,760,486,Z-F 母嬰專區,2025-04-10,1
P-B003,紙尿褲 M 箱購,母嬰用品,哺育用品,1180,797,Z-F 母嬰專區,2021-08-20,1
P-B004,嬰兒濕紙巾箱購,母嬰用品,尿布濕巾,599,389,Z-F 母嬰專區,2022-09-08,1
P-B005,嬰兒沐浴洗髮露,母嬰用品,嬰童清潔,320,206,Z-F 母嬰專區,2023-12-17,1
P-B006,嬰兒屁屁膏,母嬰用品,哺育用品,280,187,Z-F 母嬰專區,2022-05-22,1
P-B007,副食品米精,母嬰用品,尿布濕巾,260,168,Z-F 母嬰專區,2023-12-15,1
P-B008,學習水杯,母嬰用品,嬰童清潔,380,242,Z-F 母嬰專區,2024-01-28,1
P-B009,嬰兒防蚊液,母嬰用品,哺育用品,240,150,Z-F 母嬰專區,2024-10-15,1
P-B010,安撫奶嘴 2 入,母嬰用品,尿布濕巾,220,146,Z-F 母嬰專區,2021-03-22,1
